Gladiolus illyricus
Gladiolus imbricatus
Gladiolus imbricatus
Gladiolus italicus
Gladiolus palustris
Gladiolus palustris
Gladiolus palustris
Glaucium flavum
Glechoma hederacea
Globularia bisnagarica
Globularia cordifolia
Globularia incanescens
Globularia nudicaulis
Goniolimon italicum
Gymnadenia conopsea
Gymnocarpium robertianum
Gypsophila repens
Halesia carolina
Hamamelis virginiana
Hedysarum hedysaroides
Helianthemum alpestre
Helianthemum apenninum
Helianthemum canum
Helianthemum canum
Helianthemum nummularium
Helianthemum nummularium
Helianthemum nummularium
Helianthemum nummularium
Helianthemum nummularium
Helichrysum compactum
Helichrysum italicum
Helleborus atrorubens
Helleborus bocconei
Helleborus foetidus
Helleborus foetidus
Helleborus niger
Helleborus odorus
Hemerocallis minor
Hepatica nobilis
Hepatica nobilis
Heracleum sphondylium
Herniaria alpina
Herniaria glabra
Hesperis matronalis
Hibiscus moscheutos
Hieracium cymosum
Hieracium eriophorum
Hieracium intybaceum
Hieracium laevigatum
Hieracium peletierianum
Hieracium pilosella
Hieracium pilosella
Hieracium sabaudum
Hieracium tomentosum
Hieracium umbellatum
Hieracium valdepilosum
Hippocrepis emerus
Hippuris vulgaris
Holcus lanatus
Homogyne alpina
Hordelymus europaeus
Hordeum vulgare
Hottonia palustris
Hyacinthoides non-scripta
Hydrocotyle vulgaris
Hydrocotyle vulgaris
Hyoscyamus niger
Hyoscyamus niger
Hyoseris radiata
Hypericum canariense
Hypericum corsicum
Hypericum maculatum
Hypericum perforatum
Hypericum perforatum
Hypericum perforatum
Hypericum richeri
Hypochaeris maculata
Hypochaeris maculata
Hypochaeris radicata
Hypochaeris robertia
Hypochaeris uniflora
Iberis saxatilis
Incarvillea zhongdianensis
Inga edulis
Inula helvetica
Inula hirta
Ipomoea quamoclit
Iris biglumis
Iris bloudowii
Iris bloudowii
Iris foetidissima
Iris forrestii
Iris graminea
Iris haynei
Iris pallida
Iris pseudacorus
Iris pseudacorus
Iris pumila
Iris pumila
Iris sanguinea
Iris sibirica
Iris taochia
Jasione montana
Jasminum fruticans
Jovibarba arenaria
Jovibarba heuffelii
Jovibarba hirta
Juglans regia
Juncus alpinoarticulatus
Juncus arcticus
Juncus arcticus
Juncus articulatus
Juncus conglomeratus
Juncus effusus
Juncus jacquinii
Juncus jacquinii
Juncus monanthos
Juncus trifidus
Juniperus communis
Juniperus communis
Juniperus sabina
Kernera saxatilis
Kernera saxatilis
Kickxia elatine
Knautia arvensis
Knautia dipsacifolia
Knautia dipsacifolia
Koeleria macrantha
Koeleria pyramidata
Koeleria pyramidata
Koeleria vallesiana
Laburnum alpinum
Laburnum alpinum
Lagurus ovatus
Lamium maculatum
Laportea canadensis
Laretia acaulis
Laserpitium gaudinii
Laserpitium halleri
Laserpitium latifolium
Laserpitium siler
Laserpitium siler
Lathyrus heterophyllus
Lathyrus heterophyllus
Lathyrus linifolius
Lathyrus occidentalis
Lathyrus vernus
Lavandula angustifolia
Lavandula canariensis
Lavandula pedunculata
Lavandula stoechas
Lemna minor
Leontodon autumnalis
Leontodon hispidus
Leontopodium alpinum
Leontopodium alpinum
Leontopodium alpinum
Leontopodium alpinum
Leontopodium japonicum
Lepidium latifolium
Lepidium virginicum
Leucojum vernum
Leucojum vernum
Ligusticum mutellina
Lilium auratum
Lilium bulbiferum
Lilium bulbiferum
Lilium bulbiferum
Lilium bulbiferum
Lilium bulbiferum
Lilium bulbiferum
Lilium carniolicum
Lilium formosanum
Lilium leichtlinii
Lilium martagon
Lilium martagon
Lilium martagon
Lilium martagon
Lilium martagon
Lilium pensylvanicum
Lilium pomponium
Lilium pomponium
Limonium gmelinii
Limosella aquatica
Linaria alpina
Linaria supina
Linum alpinum
Linum austriacum
Linum tenuifolium
Listera ovata
Listera ovata
Listera ovata
Lithospermum officinale
Littorella uniflora
Lobelia cardinalis
Lobelia siphilitica
Lolium perenne
Lomelosia graminifolia
Lonicera alpigena
Lonicera nigra
Lonicera nigra
Lotus alpinus
Lotus corniculatus
Lotus corniculatus
Lotus corniculatus
Lotus cytisoides
Lotus maritimus
Lotus pedunculatus
Ludwigia palustris
Lunaria rediviva
Lunaria rediviva
Luzula nivea
Luzula sieberi
Luzula sudetica
Lycopus europaeus
Lysimachia thyrsiflora
Lysimachia thyrsiflora
Lythrum hyssopifolia
Lythrum portula
Lythrum salicaria
Lythrum salicaria
Maianthemum racemosum
Maihueniopsis darwinii
Maihueniopsis darwinii
Malus sylvestris
Malus sylvestris
Malva alcea
Manfreda virginica
Matthiola fragrans
Matthiola sinuata
Matthiola valesiaca
Matthiola valesiaca
Medicago arborea
Melica ciliata
Melica ciliata
Melica nutans
Melica transsilvanica
Menispermum canadense
Mentha aquatica
Mentha pulegium
Menyanthes trifoliata
Mercurialis perennis
Meum athamanticum
Micromeria graeca
Minuartia laricifolia
Minuartia laricifolia
Minuartia lineata
Minuartia recurva
Minuartia rostrata
Minuartia sedoides
Minuartia sedoides
Minuartia sedoides
Moehringia muscosa
Molinia caerulea
Moringa oleifera
Muscari armeniacum
Muscari botryoides
Muscari botryoides
Muscari neglectum
Muscari racemosum
Myosoton aquaticum
Narcissus assoanus
Narcissus calcicola
Narcissus poeticus
Narcissus poeticus
Narcissus poeticus
Narcissus pseudonarcissus
Narcissus pseudonarcissus
Narcissus pseudonarcissus
Narcissus pseudonarcissus
Narcissus radiiflorus
Narcissus scaberulus
Narcissus tazetta
Nardus stricta
Neobuxbaumia polylopha
Nephelium longana
Nigella damascena
