ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur
XX 0 BRUGL 1/1994 G S,,,,,,Malvaceae,,,13 g,Hibiscus sabdariffa L. s.l.,Serre 5
XX 0 FRIBG 10001329,,,,,,Malvaceae,,,,Hibiscus syriacus L.,Système 3
XX 0 FRIBG 20150381,,,,,,Malvaceae,,,13g,Hibiscus tiliaceus L.,Serre 5
XX 0 FRIBG 10000131,,,,,,Malvaceae,,,16,Hibiscus trionum L.,Système 3
XX 0 FRIBG 10001330,,,,,,Asteraceae,,,,Hieracium amplexicaule L.,Système 1
CH 00 FRIBG 20160517,,,,,,Asteraceae,,,,Hieracium aurantiacum L.,Système 1
XX 0 FRIBG 19890441,,,,,,Asteraceae,,,,Hieracium bombycinum Boiss. et Reut.,Pl. médit.
XX 0 JENA 7281122-00,,,,,,Asteraceae,,,,Hieracium bornmuelleri Freyn,Pl. médit.
IT 0 FRIBG 20160441,,,,,,Asteraceae,,,,Hieracium cymosum L.,Alp. calcaire 1
FR 0 FRIBG 20140001,,,,,,Asteraceae,,,,Hieracium eriophorum St.-Amans,Système 1
XX 0 TR 20060602,,,,,,Asteraceae,,,,Hieracium glaucum All.,Système 1
PL 0 FRIBG 20190307,,,,,,Asteraceae,,,,Hieracium laevigatum aggr.,Système 1
XX 0 FRIBG 10001338,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium murorum aggr.,Système 1
FR 0 FRIBG 20090333,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium peletierianum Mérat,Steppe val.
CH 0 FRIBG 19910450,"Thöni Erich Neyruz/ Schöpfer Josef, 1998",,,,,Asteraceae,,,,Hieracium pilosella L.,Alp. siliceux
CH 0 FRIBG 20020633,Mraz Patrik Ecologie 2008,,,,,Asteraceae,,,,Hieracium pilosella L.,Steppe val.
XX 0 FRIBG 19870411,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium piloselloides Vill.,Alp. calcaire 3
CH 0 FRIBG 20040022,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium sabaudum aggr.,Steppe val.
XX 0 FRIBG 19870068,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium schmidtii aggr.,Alp. siliceux
FR 0 FRIBG 20080293,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium tomentosum L.,Steppe val.
CH 0 FRIBG 20040007,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium umbellatum L.,Steppe val.
CH 0 FRIBG 20020482,Mraz Patrik Ecologie 2011,,,,,Asteraceae,,,,Hieracium valdepilosum Vill.,Alp. calcaire 6
CH 0 Z 20180995,,,,,,Asteraceae,,,,Hieracium villosum Jacq.,Alp. calcaire 6
XX 0 FRIBG 20150325,,,,,,Fabaceae,,,,Hippocrepis emerus (L.) Lassen,Système 2
CH 0 FRIBG 20020501,"Clément Benoit, 2007",,,,,Fabaceae,,,,Hippocrepis emerus (L.) Lassen,Steppe val.
XX 0 FRIBG 10000132,,,,,,Fabaceae,,,16,Hippocrepis unisiliquosa L.,Système 2
XX 0 FRIBG 20150322,,,,,,Elaeagnaceae,,,,Hippophae rhamnoides L.,Système 2
XX 0 FRIBG 10002607,,,,,,Elaeagnaceae,,,,Hippophae rhamnoides L.,Entrée Musée
CH 0 FRIBG 19930411,,,,,,Plantaginaceae,,,,Hippuris vulgaris L.,Pl. aquatiques
XX 0 FRIBG 10003244,,,,,,Brassicaceae,,,14 s,Hirschfeldia incana (L.) Lagr.-Foss.,Système 3
XX 0 FRIBG 10000349,,Bouture,,,,Rubiaceae,,,,Hoffmannia discolor (Lem.) Hermsl.,Serre 4
CH 0 FRIBG 20140022,Sciboz Jacques,,,,,Poaceae,,,,Holcus lanatus L.,Système 4
XX 0 FRIBG 10001342,,,,,,Rosaceae,,,,Holodiscus dumosus (Hook.) A. Heller,Système 2
XX 0 FRIBG 20170030,,,,,,Orchidaceae,,,,Holothrix burchellii (Lindl.) Rchb.f.,Serre froide
CH 0 FRIBG 20040676,,,,,,Asteraceae,,,,Homogyne alpina (L.) Cass.,Alp. siliceux
XX 0 FRIBG 19900308,"Mölders Wolfgang, 1990",,,,,Poaceae,,,,Hordeum bulbosum L.,Système 4
XX 0 FRIBG 10001344,,,,,,Poaceae,,,16,Hordeum jubatum L.,Système 4
XX 0 FRIBG 10000133,"Sciboz Jacques, 2005",,,,,Poaceae,,,40,Hordeum murinum subsp. leporinum (Link) Arcang.,Système 4
XX 0 FRIBG 20090470,,,,,,Poaceae,,,40,Hordeum vulgare L. subsp. vulgare convar. vulgare 'Cervoise',Système 4
XX 0 FRIBG 10001350,,,,,,Poaceae,,,40,Hordeum vulgare L. subsp. vulgare convar. vulgare (orge à quatre rangs),Système 4
XX 0 FRIBG 10001351,,,,,,Poaceae,,,40,Hordeum vulgare L. subsp. vulgare convar. vulgare (orge à six rangs),Système 4
XX 0 FRIBG 20180486,,,,,,Poaceae,,,16,Hordeum vulgare L. subsp. vulgare convar. vulgare (orge nue) 'Oberwald',Système 4
IL 0 FRIBG 20090456,,,,,,Poaceae,,,16,Hordeum vulgare subsp. spontaneum (K. Koch) Thell.,Système 4
XX 0 FRIBG 10001348,,,,,,Poaceae,,,40,Hordeum vulgare subsp. vulgare convar. distichon (L.) Alef. ' Orge paon',Système 4
XX 0 FRIBG 20060652,,,,,,Poaceae,,,16,Hordeum vulgare subsp. vulgare convar. distichon (L.) Alef. 'Orge noire',Système 4
XX 0 FRIBG 10001352,,,,,,Lamiaceae,,,,Horminum pyrenaicum L.,Alp. calcaire 1
XX 0 FRIBG 20140293,,,,,,Asparagaceae,,,,Hosta minor (Baker) Nakai,Système 4
XX 0 FRIBG 20010373,,,,,,Asparagaceae,,,,Hosta montana Maekawa,Rocaille 2
XX 0 FRIBG 19910154,,,,,,Asparagaceae,,,,Hosta sieboldiana (Hook.) Engl. var. sieboldiana,Système 4
CH 0 FRIBG 20080446,,,,,,Primulaceae,,,,Hottonia palustris L.,Pl. protégées
XX 0 FRIBG 19930345,,,,,,Rhamnaceae,,,,Hovenia dulcis Thunb.,Système 2
XX 0 FRIBG 20130263,,,,,,Arecaceae,,,,Howea forsteriana Becc.,Multiplication
XX 0 FRIBG 2012169,,,,,,Apocynaceae,,,,Hoya australis Traill,Serre 4
XX 0 FRIBG 2012175,,,,,,Apocynaceae,,,,Hoya brevialata D. Kleijn et R. van Donkelaar,Serre 4
XX 0 FRIBG 2012170,,,,,,Apocynaceae,,,,Hoya carnosa (L. f.) R. Br.,Serre 4
XX 0 FRIBG 2012171,,,,,,Apocynaceae,,,,Hoya carnosa (L. f.) R. Br. 'Krinkle 8',Serre 4
XX 0 FRIBG 2012172,,,,,,Apocynaceae,,,,Hoya carnosa (L. f.) R. Br. 'Tricolor',Serre 4
,,,,,,Apocynaceae,,,,Hoya linearis,Serre 5 Himalaya
XX 0 FRIBG 20070553,,,,,,Apocynaceae,,,,Hoya sp.,Serre 4
XX 0 FRIBG 2012178,,,,,,Apocynaceae,,,,Hoya sp.,Serre 4
XX 0 FRIBG 2012179,,,,,,Apocynaceae,,,,Hoya sp.,Serre 4
XX 0 FRIBG 20090139,,,,,,Apocynaceae,,,05 g,Huernia schneideriana A. Berger,Serre 1 S-Afr.
XX 0 FRIBG 20120343,,,,,,Apocynaceae,,,,Huernia sp.,Serre 1 S-Afr.
XX 0 FRIBG 20070564,,,,,,Apocynaceae,,,,Huernia sp.,Serre 1 S-Afr.
XX 0 FRIBG 10002608,,,,,,Cannabaceae,,,,Humulus lupulus L.,Système 2
XX 0 FRIBG 10002608,,,,,,Cannabaceae,,,,Humulus lupulus L.,Médicinal
XX 0 FRIBG 20200350,,,,,,Papaveraceae,,,09 s,Hunnemannia fumariifolia Sweet,Système 3
XX 0 BHU F-1973-1092,,,,,,Asparagaceae,,,,Hyacinthoides hispanica (Mill.) Rothm.,Géophytes
FR 0 FRIBG 20090244,,,,,,Asparagaceae,,,,Hyacinthoides non-scripta (L.) Rothm.,Géophytes
XX 0 GIESS 0-U-1293,,,,,,Rubiaceae,,,05 g,Hydnophytum formicarum Jack,Serre 4
XX 0 FRIBG 19600001,,,,,,Hydrangeaceae,,,,Hydrangea anomala subsp. petiolaris McClintock,Cour
XX 0 FRIBG 10001361,"Sciboz Jacques, 2002",,,,,Hydrangeaceae,,,,Hydrangea arborescens subsp. discolor (Ser.) E.M. McClint.,Système 2
XX 0 FRIBG 20190227,,,,,,Hydrangeaceae,,,,Hydrangea aspera D. Don,Système 2
XX 0 FRIBG 10001368,,,,,,Hydrangeaceae,,,,Hydrangea macrophylla (Murray) Ser.,Système 2
XX 0 FRIBG 20150351,,,,,,Hydrangeaceae,,,,Hydrangea paniculata Siebold 'Grandiflora',Système 2
XX 0 FRIBG 20080449,,,,,,Hydrangeaceae,,,,Hydrangea quercifolia W. Bartram,Place du bouleau
XX 0 FRIBG 20080449,,,,,,Hydrangeaceae,,,,Hydrangea quercifolia W. Bartram,Système 2
XX 0 FRIBG 10001371,,,,,,Ranunculaceae,,,,Hydrastis canadensis L.,Médicinal
XX 0 FRIBG 10000355,,Division,,,,Araliaceae,,,,Hydrocotyle verticillata Thunb.,Serre 4
XX 0 FRIBG 10002862,,,,,,Araliaceae,,,,Hydrocotyle vulgaris L.,Pl. aquatiques
CH 0 FRIBG 20030996,"Clément Benoit, 2003",,,,,Araliaceae,,,,Hydrocotyle vulgaris L.,Pl. protégées
CH 0 FRIBG 20030996,"Clément Benoit, 2003",,,,,Araliaceae,,,,Hydrocotyle vulgaris L.,Zone humide
XX 0 BAS 3939/95,,,,,,Poaceae,,,,Hygroryza aristata (Retz.) Nees ex Wight & Arn.,Serre 4
XX 0 FRIBG 20040728,,,,,,Cactaceae,,,,Hylocereus undatus (Haw.) Britton et Rose,Serre 5
XX 0 FRIBG 19470003,,,,,,Amaryllidaceae,,,,Hymenocallis speciosa Salisb.,Serre 4
FR 0 FRIBG 20010614,,,,,,Solanaceae,,,16 s,Hyoscyamus niger L.,Système 1
FR 0 FRIBG 20010614,,,,,,Solanaceae,,,16 s,Hyoscyamus niger L.,Médicinal
IT 0 FRIBG 19910521,"Schöpfer Josef,",,,,,Asteraceae,,,,Hyoseris radiata L. subsp. radiata,Pl. médit.
XX 0 FRIBG 10001378,,,,,,Hypericaceae,,,,Hypericum androsaemum L.,Système 2
XX 0 FRIBG 10001379,,,,,,Hypericaceae,,,,Hypericum annulatum Moris,Pl. médit.
XX 0 FRIBG 10001380,,,,,,Hypericaceae,,,,Hypericum ascyron L.,Système 2
XX 0 FRIBG 10001381,,,,,,Hypericaceae,,,,Hypericum barbatum Jacq.,Pl. médit.
XX 0 FRIBG 10001382,,,,,,Hypericaceae,,,,Hypericum calycinum L.,Système 2
IT 0 BERN 2000/21 W S,,,,,,Hypericaceae,,,,Hypericum coris L.,Alp. calcaire 3
CH 0 FRIBG 19890870,"Thöni Erich Neyruz/ Schöpfer Josef, 1998",,,,,Hypericaceae,,,,Hypericum maculatum Crantz subsp. maculatum,Alp. calcaire 1
XX 0 FRIBG 10001386,,,,,,Hypericaceae,,,,Hypericum orientale L.,Rocaille 1
CH 0 FRIBG 20060001,,,,,,Hypericaceae,,,,Hypericum perforatum L. subsp. perforatum,Système 2
CH 0 FRIBG 19890885,"Clément Benoit, 2002",,,,,Hypericaceae,,,,Hypericum perforatum L. subsp. perforatum,Steppe val.
CH 0 FRIBG 20060001,,,,,,Hypericaceae,,,,Hypericum perforatum L. subsp. perforatum,Médicinal
XX 0 FRIBG 19950403,,,,,,Hypericaceae,,,,Hypericum prolificum L.,Système 2
IT 0 FRIBG 20180256,,,,,,Hypericaceae,,,,Hypericum richeri Vill.,Alp. calcaire 5
XX 0 FRIBG 19950253,,,,,,Hypericaceae,,,,Hypericum tomentosum L.,Pl. médit.
XX 0 FRIBG 10001389,,,,,,Hypericaceae,,,,Hypericum virginicum L.,Système 2
CH 0 BERN 2014/232,,,,,,Asteraceae,,,,Hypochaeris maculata L.,Alp. calcaire 1
CH 0 BERN 2014/232,,,,,,Asteraceae,,,,Hypochaeris maculata L.,Pl. protégées
CH 0 FRIBG 20160289,Sciboz J.,,,,,Asteraceae,,,,Hypochaeris radicata L.,Système 1
FR 0 FRIBG 20010022,"Clément Benoit,",,,,,Asteraceae,,,,Hypochaeris robertia Fiori,Rocaille 2
CH 0 Z 20130964,,,,,,Asteraceae,,,,Hypochaeris uniflora Vill.,Alp. siliceux
XX 0 FRIBG 19970621,,Bouture,,,,Acanthaceae,,,,Hypoestes phyllostachya Baker,Serre 4
XX 0 FRIBG 20160354,,,,,,Lamiaceae,,,,Hyssopus officinalis L.,Mur
XX 0 FRIBG 10000135,,,,,,Lamiaceae,,,,Hyssopus officinalis L.,Système 1
XX 0 FRIBG 20020088,,,,,,Poaceae,,,,Hystrix patula Moench,Système 4
XX 0 FRIBG 10000057,,,,,,Brassicaceae,,,14,Iberis amara L.,Système 3
XX 0 FRIBG 20050473,,,,,,Brassicaceae,,,,Iberis amara L.,Pl. protégées
XX 0 FRIBG 10001391,,,,,,Brassicaceae,,,,Iberis corifolia Sweet.,Pl. médit.
XX 0 FRIBG 10002610,,,,,,Brassicaceae,,,,Iberis pruitii Tineo,Rocaille 1
XX 0 FRIBG 19860013,,,,,,Brassicaceae,,,,Iberis saxatilis L.,Pl. médit.
IT 0 FRIBG 20070380,,,,,,Brassicaceae,,,,Iberis saxatilis L.,Rocaille 1
XX 0 FRIBG 19870502,"Enz Peter, 1988",,,,,Brassicaceae,,,,Iberis sempervirens L.,Pl. médit.
XX 0 FRIBG 10003100,,,,,,Brassicaceae,,,,Iberis sempervirens L.,Système 3
XX 0 FRIBG 10001396,,,,,,Aquifoliaceae,,,,Ilex aquifolium L. 'Aureomarginata',Pourtour engazonné du système
XX 0 FRIBG 10003634,,,,,,Aquifoliaceae,,,,Ilex aquifolium L. femelle,Pourtour engazonné du système
XX 0 FRIBG 10001395,,,,,,Aquifoliaceae,,,,Ilex aquifolium L. mâle,Système 1
XX 0 FRIBG 10002752,,,,,,Aquifoliaceae,,,,Ilex aquifolium L. mâle,Pourtour engazonné du système
XX 0 FRIBG 20150369,,,,,,Aquifoliaceae,,,,Ilex crenata Thunb.,Système 1
XX 0 FRT 1994/2428,,,,,,Aquifoliaceae,,,,Ilex paraguariensis St. Hil.,Multiplication
XX 0 FRIBG 20160202,,,,,,Aquifoliaceae,,,,Ilex verticillata (L.) A. Gray,Système 1
XX 0 FRIBG 10000058,,,,,,Balsaminaceae,,,14 s,Impatiens balsamina L.,Système 2
XX 0 FRIBG 20000152,,Bouture,,,,Balsaminaceae,,,,Impatiens congolensis G.M. Schulze et R. Wilezek,Serre 4
PAYS INCONNU FRIBG 20130306,,,,,,Balsaminaceae,,,,Impatiens platypetala Lindl.,Serre 4
XX 0 FRIBG 10001404,,,,,,Balsaminaceae,,,14 s,Impatiens scabrida DC.,Système 2
XX 0 FRIBG 10001405,,,,,,Balsaminaceae,,,07 s,Impatiens walleriana Hook. f.,Système 2
XX 0 FRIBG 20170486,,,,,,Balsaminaceae,,,,Impatiens x new guinea,Système 2
XX 0 ROTT 20050056,,,,,,Bignoniaceae,,,,Incarvillea sinensis Lam.,Rocaille 2
CN 0 REYK 1998/001,,,,,,Bignoniaceae,,,,Incarvillea zhongdianensis Grey-Wilson,Rocaille 2
XX 0 FRIBG 10001406,,,,,,Fabaceae,,,,Indigofera gerardiana Graham,Système 2
XX 0 FRIBG 10001407,,,,,,Fabaceae,,,,Indigofera potaninii Craib.,Microscopie
XX 0 FRIBG 20150128,,,,,,Fabaceae,,,,Indigofera tinctoria L.,Serre 5
XX 0 FRIBG 20200362,,,,,,Fabaceae,,,,Inga edulis Mart.,Serre 5
XX 0 FRIBG 20180072,,,,Châssis,,Asteraceae,,,,Inula ensifolia L.,Pl. médit.
XX 0 FRIBG 10000059,,,,,,Asteraceae,,,,Inula helenium L.,Système 1
XX 0 FRIBG 10000059,,,,,,Asteraceae,,,,Inula helenium L.,Médicinal
CH 0 FRIBG 20020649,"Clément Benoit, 2002",,,,,Asteraceae,,,,Inula helvetica Weber,Pl. protégées
AT 0 FRIBG 20050147,,,,,,Asteraceae,,,,Inula hirta L.,Alp. calcaire 2
XX 0 FRIBG 10001409,,,,,,Asteraceae,,,,Inula salicina L.,Système 1
XX 0 FRIBG 10002613,,,,,,Asteraceae,,,,Inula salicina L.,Zone humide
XX 0 FRIBG 20010017,"Clément Benoit,",,,,,Amaryllidaceae,,,,Ipheion uniflorum Raf.,Rocaille 1
UY 0 WURZB 90-380-K-30,,,,,,Amaryllidaceae,,,,Ipheion uniflorum Raf.,Géophytes
XX 0 FRIBG 20190402,,,Couches,,,Convolvulaceae,,,,Ipomoea batatas (L.) Lam.,Serre 5
XX 0 FRIBG 20170397,,,Couches,,,Convolvulaceae,,,16 s,Ipomoea batatas (L.) Lam.,Système 1
XX 0 FRIBG 20120201,,Bouture,,,,Convolvulaceae,,,07 g,Ipomoea desmophylla Choisy,Place du tilleul
XX 0 FRIBG 20020710,,Bouture,Serre 2,,,Convolvulaceae,,,,Ipomoea hederacea Jacq.,Place du tilleul
XX 0 FRIBG 10001412,,,,,,Convolvulaceae,,,16 s,Ipomoea lobata (Cerv.) Thell.,Système 1
XX 0 FRIBG 20120200,,Bouture,Serre 2,,,Convolvulaceae,,,,Ipomoea muricata (L.) Jacq.,Place du tilleul
XX 0 FRIBG 10001413,,,,,,Convolvulaceae,,,16 s,Ipomoea purpurea (L.) Roth,Système 1
DE 0 B 2010105,,,,,,Convolvulaceae,,,16 s,Ipomoea quamoclit L.,Système 1
XX 0 FRIBG 10001414,,,,,,Convolvulaceae,,,16 s,Ipomoea tricolor Cav. 'Praecox',Système 1
XX 0 FRIBG 10001416,,,Couches,,,Amaranthaceae,,,,Iresine lindenii Van Houtte,Système 3
RU 0 OSN 2012-204,,,,,,Iridaceae,,,,Iris biglumis Vahl.,Géophytes
RU 0 OSN 2012-190,,,,,,Iridaceae,,,,Iris bloudowii Ledeb.,Rocaille 1
RU 0 OSN 2012-190,,,,,,Iridaceae,,,,Iris bloudowii Ledeb.,Géophytes
XX 0 FRIBG 10001418,,,,,,Iridaceae,,,,Iris bucharica Forster,Géophytes
XX 0 Z 19710493,,,,,,Iridaceae,,,,Iris chrysographes Dykes,Géophytes
XX 0 FRIBG 19970587,,,,,,Iridaceae,,,,Iris crocea R.C. Foster,Système 4
XX 0 FRIBG 20080070,,,,,,Iridaceae,,,,Iris crocea R.C. Foster,Géophytes
XX 0 FRIBG 20010307,,,,,,Iridaceae,,,,Iris ensata Thunb.,Rocaille 2
XX 0 FRIBG 19910361,,,,,,Iridaceae,,,,Iris ensata Thunb.,Pl. aquatiques
FR 0 FRIBG 20190106,,,,,,Iridaceae,,,,Iris foetidissima L.,Système 4
FR 0 P 2010g006,,,,,,Iridaceae,,,,Iris foetidissima L.,Géophytes
CN 0 FRIBG 20040365,,,,,,Iridaceae,,,,Iris forrestii Dykes,Système 4
XX 0 FRIBG 19900405,"Bollinger Susanne, 1995",,,,,Iridaceae,,,,Iris graminea L.,Géophytes
XX 0 FRIBG 20010306,,,,,,Iridaceae,,,,Iris graminea L.,Alp. calcaire 6
FR 0 P 2008g046,,,,,,Iridaceae,,,,Iris graminea L.,Alp. calcaire 5
IL 0 FRIBG 20130028,,,,,,Iridaceae,,,,Iris haynei Baker,Géophytes
XX 0 FRIBG 20031104,,,,,,Iridaceae,,,,Iris hexagona Walter,Géophytes
XX 0 FRIBG 20080334,,,,,,Iridaceae,,,,Iris humilis Georgi,Géophytes
XX 0 FRIBG 20031173,,,,,,Iridaceae,,,,Iris kochii Stapf,Système 4
KZ 0 BONN 33836,,,,,,Iridaceae,,,,Iris lactea Pall. fo. lactea,Système 4
XX 0 FRIBG 20010317,,,,,,Iridaceae,,,,Iris lacustris Nutt.,Rocaille 3
PT 0 DR 000448,,,,,,Iridaceae,,,,Iris lusitanica Ker-Gawl.,Géophytes
XX 0 FRIBG 20080132,,,,,,Iridaceae,,,,Iris lutescens Lam.,Géophytes
XX 0 FRIBG 20040550,,,,,,Iridaceae,,,,Iris magnifica Vved.,Géophytes
XX 0 FRIBG 10001424,,,,,,Iridaceae,,,,Iris orientalis Mill.,Système 4
XX 0 FRIBG 20080079,,,,,,Iridaceae,,,,Iris orientalis Mill.,Géophytes
XX 0 M 2002/2454,,,,,,Iridaceae,,,,Iris orientalis Mill.,Géophytes
XX 0 FRIBG 20031174,,,,,,Iridaceae,,,,Iris pallida Lam.,Système 4
IT 0 FRIBG 20020696,,,,,,Iridaceae,,,,Iris pallida subsp. cengiali (Ambrosi) Foster,Rocaille 3
XX 0 FRIBG 20090098,,,,,,Iridaceae,,,,Iris persica L.,Géophytes
XX 0 FRIBG 20090097,,,,,,Iridaceae,,,,Iris prismatica Pursh,Géophytes
DE 0 FRIBG 19960292,,,,,,Iridaceae,,,,Iris pseudacorus L.,Pl. protégées
CH 0 FRIBG 20160638,,,,,,Iridaceae,,,,Iris pseudacorus L.,Pl. aquatiques
XX 0 FRIBG 10002864,,,,,,Iridaceae,,,,Iris pumila L.,Géophytes
AT 0 FRIBG 20030192,,,,,,Iridaceae,,,,Iris pumila L.,Rocaille 3
GR 0 FRIBG 20010310,,,,,,Iridaceae,,,,Iris pumila subsp. attica (Boiss. et Heldr.) Hayek,Rocaille 3
XX 0 FRIBG 19950682,,,,,,Iridaceae,,,,Iris reticulata M. Bieb.,Géophytes
XX 0 FRIBG 20080131,,,,,,Iridaceae,,,,Iris ruthenica Ker-Gawl.,Géophytes
XX 0 FRIBG 20090102,,,,,,Iridaceae,,,,Iris sanguinea Donn var. sanguinea,Géophytes
JP 0 FRIBG 20010308,,,,,,Iridaceae,,,,Iris sanguinea Donn.,Rocaille 2
XX 0 M B/0373,,,,,,Iridaceae,,,,Iris sanguinea Donn.,Géophytes
XX 0 FRIBG 10002865,"Bollinger Susanne, 2002",,,,,Iridaceae,,,,Iris sibirica L.,Système 4
DE 0 FRIBG 19950112,,,,,,Iridaceae,,,,Iris sibirica L.,Pl. protégées
XX 0 FRIBG 10003111,Schöpfer Josef 2004,,,,,Iridaceae,,,,Iris sibirica L.,Zone humide
BG 0 BERN 1992/109 W S,,,,,,Iridaceae,,,,Iris sintenisii Janka,Géophytes
XX 0 FRIBG 20080080,,,,,,Iridaceae,,,,Iris spuria L.,Géophytes
XX 0 FRIBG 20031176,,,,,,Iridaceae,,,,Iris spuria L. subsp. spuria,Système 4
TR 0 FRIBG 20030420,,,,,,Iridaceae,,,,Iris taochia Grossheim,Rocaille 3
XX 0 FRIBG 20031178,,,,,,Iridaceae,,,,Iris tectorum Maxim.,Système 4
XX 0 FRIBG 20090374,,,,"Branches, Plaque",,Iridaceae,,,,Iris tuberosa L.,Géophytes
GR 0 FRIBG 20040102,,,,,,Iridaceae,,,,Iris unguicularis subsp. cretensis (Janka) A.P. Davis et S.L. Jury,Serre 1 N-Afr.
XX 0 FRIBG 20090099,,,,,,Iridaceae,,,,Iris wattii Baker,Géophytes
XX 0 FRIBG 20031098,,,,,,Iridaceae,,,,Iris winogradowii Fomin,Géophytes
XX 0 FRIBG 10001420,,,,,,Iridaceae,,,,Iris x germanica L.,Système 4
XX 0 FRIBG 10001420,,,,,,Iridaceae,,,,Iris x germanica L.,Médicinal
XX 0 FRIBG 10000060,,,,,,Brassicaceae,,,14,Isatis tinctoria L.,Système 3
XX 0 FRIBG 20040277,,,,,,Asteraceae,,,18 s,Ismelia carinata (Schousb.) Sch. Bip.,Système 1
XX 0 FRIBG 10001885,,,,,,Lamiaceae,,,,Isodon japonicus var. glaucocalyx (Maxim.) H.W. Li,Système 1
XX 0 FRIBG 19730013,,,,,,Cactaceae,,,,Isolatocereus dumortieri (Scheidw.) Backeb.,Serre 1 Am.
XX 0 FRIBG 20080172,,,,,,Ranunculaceae,,,,Isopyrum thalictroides L.,Alp. calcaire 2
XX 0 BONN 2828,,,,,,Ixioliriaceae,,,,Ixiolirion tataricum (Pall.) Schult. et Schult. f.,Géophytes
XX 0 FRIBG 20100207,,,,,,Ixioliriaceae,,,,Ixiolirion tataricum (Pall.) Schult. et Schult. f.,Géophytes
XX 0 FRIBG 20160023,,,,,,Campanulaceae,,,,Jasione laevis Lam.,Système 1
XX 0 FRIBG 20010127,,,,,,Campanulaceae,,,,Jasione laevis Lam.,Rocaille 2
DE 0 FRIBG 19890078,"Thöni Erich Neyruz/ Schöpfer Josef, 1996",,,,,Campanulaceae,,,,Jasione montana L.,Alp. siliceux
XX 0 FRIBG 19910645,,,,,,Oleaceae,,,,Jasminum beesianum Forrest et Diels,Entrée AMI
PT 0 FRIBG 19990297,,,,Feuilles,,Oleaceae,,,,Jasminum fruticans L.,Pl. médit.
XX 0 FRIBG 20031197,,,,,,Oleaceae,,,,Jasminum nudiflorum Lindl.,Pavillon vert
XX 0 FRIBG 20070040,,,,,,Oleaceae,,,,Jasminum parkeri Dunn,Rocaille 3
XX 0 FRIBG 19920730,,,,,,Oleaceae,,,,Jasminum sambac Sol.,Serre 5
XX 0 BR 19480608,,,,,,Euphorbiaceae,,,05 g,Jatropha curcas L.,Serre 5
XX 0 FRIBG 19920750,,,,,,Euphorbiaceae,,,05 g,Jatropha podagrica Hook.,Serre 4
XX 0 BERN 1993/268GP,,,,,,Berberidaceae,,,,Jeffersonia diphylla (L.) Pers.,Système 3
XX 0 FRIBG 10000359,,,,,,Orchidaceae,,,,Josephin x Medaorhold,Serre 4
AT 0 FRIBG 20030732,,,,,,Crassulaceae,,,,Jovibarba arenaria (W.D.J. Koch) Opiz subsp. arenaria,Rocaille 2
XX 0 FRIBG 20030734,,,,,,Crassulaceae,,,,Jovibarba globifera (L.) J. Parn. subsp. globifera,Rocaille 3
HU 0 FRIBG 20010303,"Clément Benoit,",,,,,Crassulaceae,,,,Jovibarba heuffelii (Schott.) A. & D. Löve,Rocaille 2
AT 0 FRIBG 20030778,,,,,,Crassulaceae,,,,Jovibarba hirta (L.) Opitz,Rocaille 3
XX 0 FRIBG 20110192,,,Orangerie,,,Arecaceae,,,,Jubaea chilensis (Molina) Baill.,Pl. d'orangerie
CH 0 FRIBG 20040413,,,,,,Juglandaceae,,,,Juglans regia L.,Arboretum
FR 0 FRIBG 20170358,,,,,,Juncaceae,,,,Juncus alpinoarticulatus Chaix,Alp. calcaire 6
CH 0 BERN 2011/272,,,,,,Juncaceae,,,,Juncus arcticus Willd.,Zone humide
CH 0 FRIBG 20110488,,,,,,Juncaceae,,,,Juncus arcticus Willd.,Alp. calcaire 5
XX 0 FRIBG 20030511,,,,,,Juncaceae,,,,Juncus articulatus L.,Zone humide
CH 0 FRIBG 20060498,"Kozlowski Gregor, 2006",,,,,Juncaceae,,,,Juncus articulatus L.,Alp. calcaire 6
IT 0 FRIBG 20031162,,,,,,Juncaceae,,,,Juncus conglomeratus L.,Zone humide
AT 0 FRIBG 20030275,,,,,,Juncaceae,,,,Juncus effusus L.,Zone humide
XX 0 FRIBG 20140537,,,,,,Juncaceae,,,,Juncus effusus L.,Système 4
XX 0 FRIBG 20030512,,,,,,Juncaceae,,,,Juncus filiformis L.,Zone humide
XX 0 FRIBG 20140538,,,,,,Juncaceae,,,,Juncus inflexus L.,Système 4
CH 0 FRIBG 19850004,"Mölders Wolfgang, 1990",,,,,Juncaceae,,,,Juncus jacquinii L.,Alp. siliceux
SI 0 FRIBG 20100254,,,,,,Juncaceae,,,,Juncus jacquinii L.,Alp. siliceux
AT 0 FRIBG 20060012,,,,,,Juncaceae,,,,Juncus monanthos Jacq.,Alp. calcaire 3
