Inventaire FRIBG,is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name,_merge,ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
citrus limon,False,False,Citrus limon,ICN,1.0,citrus limon,['sibling_higher'],False,False,Citrus limon,3942422.0,species,ott3.3draft1,"['Citrus aurantium bergamia', 'Citrus bergamia', 'Citrus bergamota', 'Citrus limodulcis', 'Citrus limon pompia', 'Citrus limonelloides', 'Citrus limonia', 'Citrus limonia otaitensis', 'Citrus limonum', 'Citrus medica limon', 'Citrus medica limonum', 'Citrus mellarosa', 'Citrus meyeri', 'Citrus volkameriana', 'Citrus vulgaris', 'Citrus x limon', 'Limon vulgaris']","['ncbi:2708', 'gbif:3190171', 'irmng:10200757']",Citrus limon,both,3942422,Archaeplastida,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,,Citrus limon,5268475,916750,99252,229288,43847,929678,,['sibling_higher'],species
citrus microcarpa,False,True,Citrus microcarpa,ICN,1.0,citrus microcarpa,"['hybrid', 'sibling_higher']",False,True,Citrus x microcarpa,5146049.0,species,ott3.3draft1,"['Citrofortunella microcarpa', 'Citrofortunella mitis', 'Citrus madurensis auct. non Lour., 1790', 'Citrus microcarpa', 'Citrus mitis', 'Citrus reticulata x Fortunella japonica', 'Citrus reticulata x Fortunella margarita', 'x Citrofortunella microcarpa', 'x Citrofortunella mitis', 'ÃCitrofortunella mitis']","['ncbi:164113', 'gbif:3831218', 'irmng:10941519']",Citrus x microcarpa,both,5146049,Archaeplastida,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,,Citrus x microcarpa,5268475,916750,99252,229288,43847,929678,,"['hybrid', 'sibling_higher']",species
citrus reticulata,False,False,Citrus reticulata,ICN,1.0,citrus reticulata,['sibling_higher'],False,False,Citrus reticulata,37136.0,species,ott3.3draft1,"['Citrus aurantium tachibana', 'Citrus chachiensis', 'Citrus chrysocarpa', 'Citrus crenatifolia', 'Citrus daoxianensis', 'Citrus deliciosa', 'Citrus depressa', 'Citrus depressa vangasay', 'Citrus erythrosa', 'Citrus madurensis deliciosa', 'Citrus madurensis vangasaye', 'Citrus mangshanensis', 'Citrus nippokoreana', 'Citrus nobilis', 'Citrus nobilis deliciosa', 'Citrus nobilis koozi', 'Citrus nobilis ponki', 'Citrus nobilis sunki', 'Citrus nobilis unshiu', 'Citrus nobilis vangasaye', 'Citrus ponki', 'Citrus poonensis', 'Citrus reticulata austera', 'Citrus reticulata deliciosa', 'Citrus reticulata tachibana', 'Citrus reticulata unshiu', 'Citrus succosa', 'Citrus suhuiensis', 'Citrus sunki', 'Citrus tachibana', 'Citrus tachibana depressa', 'Citrus tachibana ponki', 'Citrus tachibana suhuiensis', 'Citrus tachibana sunki', 'Citrus tangerina', 'Citrus tankan', 'Citrus unshiu', 'Citrus vangasay', 'Citrus vangasaye', 'Citrus vangasy']","['ncbi:85571', 'gbif:3190172', 'irmng:11303887']",Citrus reticulata,both,37136,Archaeplastida,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,,Citrus reticulata,5268475,916750,99252,229288,43847,929678,,['sibling_higher'],species
citrus sinensis,False,False,Citrus sinensis,ICN,1.0,citrus sinensis,['sibling_higher'],False,False,Citrus sinensis,3942433.0,species,ott3.3draft1,['Citrus x sinensis'],"['ncbi:2711', 'irmng:11193531']",Citrus sinensis,both,3942433,Archaeplastida,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,,Citrus sinensis,5268475,916750,99252,229288,43847,929678,,['sibling_higher'],species
cladrastis kentukea,False,False,Cladrastis kentukea,ICN,1.0,cladrastis kentukea,[],False,False,Cladrastis kentukea,702368.0,species,ott3.3draft1,"['Cladrastis albiflora', 'Cladrastis fragrans', 'Cladrastis kentuckensis', 'Cladrastis kentukea tomentosa', 'Cladrastis lutea', 'Cladrastis tinctoria', 'Sophora kentukea', 'Virgilia alba', 'Virgilia kentuckensis', 'Virgilia lutea']","['ncbi:38412', 'gbif:2945513', 'irmng:10171855']",Cladrastis kentukea,both,702368,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cladrastis,,Cladrastis kentukea,5268475,916750,99252,956360,560323,587223,,[],species
clarkia amoena,False,False,Clarkia amoena,ICN,1.0,clarkia amoena,[],False,False,Clarkia amoena,241118.0,species,ott3.3draft1,"['Godetia amoena', 'Godetia hybrida', 'Godetia pacifica', 'Godetia whitneyi', 'Oenothera rubricunda']","['ncbi:76120', 'gbif:5420978', 'irmng:10194587']",Clarkia amoena,both,241118,Archaeplastida,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,,Clarkia amoena,5268475,916750,99252,648898,1015483,1015477,,[],species
clarkia unguiculata,False,False,Clarkia unguiculata,ICN,1.0,clarkia unguiculata,[],False,False,Clarkia unguiculata,1015485.0,species,ott3.3draft1,"['Clarkia elegans', 'Oenothera elegans', 'Phaeostoma douglasii', 'Phaeostoma elegans']","['ncbi:3937', 'gbif:5420957', 'irmng:10198832']",Clarkia unguiculata,both,1015485,Archaeplastida,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Clarkia,,Clarkia unguiculata,5268475,916750,99252,648898,1015483,1015477,,[],species
claytonia perfoliata,False,False,Claytonia perfoliata,ICN,1.0,claytonia perfoliata,[],False,False,Claytonia perfoliata,883489.0,species,ott3.3draft1,"['Limnia perfoliata', 'Montia perfoliata']","['ncbi:46146', 'gbif:7736011', 'irmng:10200420']",Claytonia perfoliata,both,883489,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Montiaceae,Claytonia,,Claytonia perfoliata,5268475,916750,99252,216628,1061273,883499,,[],species
clematis florida,False,False,Clematis florida,ICN,1.0,clematis florida,[],False,False,Clematis florida,72778.0,species,ott3.3draft1,"['Anemone japonica', 'Atragene florida', 'Atragene indica', 'Clematis anemoniflora', 'Clematis anemonoides', 'Clematis axurea', 'Clematis bicolor', 'Clematis bracteata leptomera', 'Clematis cadmia leptomera', 'Clematis florida sieboldii', 'Clematis florida simsii', 'Clematis hakonensis', 'Clematis japonica', 'Clematis japonica simsii', 'Clematis leptomera', 'Clematis sieboldii', 'Sieboldia bicolor', 'Sieboldia florida', 'Viticella florida']","['ncbi:231648', 'gbif:8158837', 'irmng:10584591']",Clematis florida,both,72778,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis florida,5268475,916750,99252,872975,387826,964052,,[],species
clematis heracleifolia,False,False,Clematis heracleifolia,ICN,1.0,clematis heracleifolia,[],False,False,Clematis heracleifolia,647742.0,species,ott3.3draft1,"['Clematis daveyana', 'Clematis heracleifolia albiflora', 'Clematis heracleifolia ichangensis', 'Clematis hookeri', 'Clematis speciosa']","['ncbi:748699', 'gbif:6374393']",Clematis heracleifolia,both,647742,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis,,Clematis heracleifolia,5268475,916750,99252,872975,387826,964052,,[],species
