ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur,matched_name,fuzzy_match_score,Inventaire FRIBG,is_approximate_match,is_synonym,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name,_merge
XX 0 FRIBG 10000473,,,,,,Pinaceae,,,,Abies pinsapo Boiss.,Arboretum,Abies pinsapo,95.0,abies pinsapo,False,False,ICN,1.0,abies pinsapo,[],False,False,Abies pinsapo,220887.0,species,ott3.3draft1,[],"['ncbi:56046', 'gbif:2685464']",Abies pinsapo,both
XX 0 FRIBG 19630002,,,,,,Pinaceae,,,,Abies procera Rehd.,Microscopie,Abies procera,95.0,abies procera,False,False,ICN,1.0,abies procera,[],False,False,Abies procera,876302.0,species,ott3.3draft1,"['Abies nobilis', 'Abies nobilis prostrata', 'Abies nobilis robusta', 'Abies nobilis robustifolia', 'Abies procera glauca', 'Abies procera prostrata', 'Picea nobilis', 'Pinus nobilis', 'Pseudotsuga nobilis']","['ncbi:97175', 'gbif:2685308', 'irmng:10716886']",Abies procera,both
XX 0 FRIBG 20100010,,,,,,Malvaceae,,,05 g,Abroma augustum (L.) L. f.,Serre 5,Abroma augustum,90.0,abroma augustum,False,False,ICN,1.0,abroma augustum,[],False,False,Abroma augustum,385534.0,species,ott3.3draft1,"['Abroma angusta', 'Ambroma augusta', 'Ambroma augustum', 'Theobroma augustum']",['ncbi:82454'],Abroma augustum (species in kingdom Archaeplastida),both
XX 0 FRIBG 20120338,,,,,,Bromeliaceae,,,,Abromeitiella sp.,Serre 1 Am.,Abromeitiella,95.0,abromeitiella.,True,False,ICN,0.9230769276618958,abromeitiella.,['barren'],False,True,Abromeitiella,6019321.0,genus,ott3.3draft1,[],['ncbi:261211'],Abromeitiella,both
XX 0 FRIBG 20050342,,,,,,Fabaceae,,,05 g,Abrus precatorius L.,Multiplication,Abrus precatorius,95.0,abrus precatorius,False,False,ICN,1.0,abrus precatorius,[],False,False,Abrus precatorius,39530.0,species,ott3.3draft1,"['Abrus abrus', 'Abrus cyaneus', 'Abrus maculatus', 'Abrus minor', 'Abrus pauciflorus', 'Abrus precatorius novo-guineensis', 'Abrus pulchellus', 'Abrus squamulosus', 'Abrus tunguensis', 'Glycine abrus']","['ncbi:3816', 'gbif:5348711', 'irmng:10170818']",Abrus precatorius (species in kingdom Archaeplastida),both
SC 0 FRIBG 20190119,,,,,,Fabaceae,,,,Abrus precatorius L.,Multiplication,Abrus precatorius,95.0,abrus precatorius,False,False,ICN,1.0,abrus precatorius,[],False,False,Abrus precatorius,39530.0,species,ott3.3draft1,"['Abrus abrus', 'Abrus cyaneus', 'Abrus maculatus', 'Abrus minor', 'Abrus pauciflorus', 'Abrus precatorius novo-guineensis', 'Abrus pulchellus', 'Abrus squamulosus', 'Abrus tunguensis', 'Glycine abrus']","['ncbi:3816', 'gbif:5348711', 'irmng:10170818']",Abrus precatorius (species in kingdom Archaeplastida),both
XX 0 FRIBG 20050254,,,,,,Malvaceae,,,05 g,Abutilon grandifolium (Willd.) Sweet,Serre 5,Abutilon grandifolium,90.0,abutilon grandifolium,False,False,ICN,1.0,abutilon grandifolium,[],False,False,Abutilon grandifolium,464177.0,species,ott3.3draft1,"['Abutilon kauaiense', 'Abutilon molle', 'Abutilon sordidium', 'Sida grandifolia', 'Sida mollis']","['ncbi:424428', 'gbif:3152633', 'irmng:10198174']",Abutilon grandifolium,both
CH 0 FRIBG 20090460,,,,,,Malvaceae,,,16 s,Abutilon theophrasti Medik.,SystÃ¨me 3,Abutilon theophrasti,95.0,abutilon theophrasti,False,False,ICN,1.0,abutilon theophrasti,[],False,False,Abutilon theophrasti,854500.0,species,ott3.3draft1,"['Abutilon abutilon', 'Abutilon avicennae', 'Abutilon avicennae chinense', 'Abutilon avicennae nigrum', 'Abutilon behrianum', 'Abutilon commune', 'Abutilon pubescens', 'Abutilon theophrasti chinense', 'Abutilon theophrasti nigrum', 'Abutilon tiliifolium', 'Abutilon vesicarium', 'Malva abutilon', 'Sida abutilifolia', 'Sida abutilon', 'Sida tenax', 'Sida tiliaefolia', 'Sida tiliifolia', 'Side abutila']","['ncbi:3631', 'gbif:3152614', 'irmng:10198173']",Abutilon theophrasti,both
ZA 0 FRIBG 20030001,,,,,,Fabaceae,,,,Acacia karroo Hayne,Serre 1 S-Afr.,Acacia karroo,95.0,acacia karroo,False,True,ICN,1.0,acacia karroo,[],False,False,Vachellia karroo,232958.0,species,ott3.3draft1,"['Acacia dekindtiana', 'Acacia karroo']","['ncbi:138024', 'gbif:3974754']",Vachellia karroo,both
XX 0 FRIBG 19660009,,,,,,Fabaceae,,,,Acacia senegal Willd.,Serre 1 N-Afr.,Acacia senegal,95.0,acacia senegal,False,True,ICN,1.0,acacia senegal,[],False,False,Senegalia senegal,581615.0,species,ott3.3draft1,"['Acacia senegal', 'Acacia verek', 'Mimosa senegal']","['ncbi:138043', 'gbif:3977346']",Senegalia senegal,both
XX 0 FRIBG 10000477,,,,,,Rosaceae,,,,Acaena buchananii Hook. f.,SystÃ¨me 2,Acaena buchananii,95.0,acaena buchananii,False,False,ICN,1.0,acaena buchananii,[],False,False,Acaena buchananii,956120.0,species,ott3.3draft1,[],"['ncbi:493338', 'gbif:5371189', 'irmng:10186303']",Acaena buchananii,both
AR 0 FRIBG 20180269,,,,,,Rosaceae,,,,Acaena cespitosa Gillies,Rocaille 3,Acaena ovina,86.0,acaena ovina,False,True,ICN,1.0,acaena ovina,[],False,False,Acaena echinata,408102.0,species,ott3.3draft1,"['Acaena agnipila tenuispica', 'Acaena behriana', 'Acaena echinata subglabricalyx', 'Acaena ovina', 'Acaena ovina calviscapa', 'Acaena ovina capitulata', 'Acaena ovina laxissima', 'Acaena ovina maxima', 'Acaena ovina monachaena', 'Acaena ovina pubescens', 'Acaena ovina retrosumpilosa', 'Acaena ovina subglabricalyx', 'Acaena ovina tenuispica']","['ncbi:281860', 'gbif:5371158', 'gbif:5371172', 'irmng:10582285', 'irmng:10180888', 'irmng:10182738']",Acaena echinata,both
XX 0 FRIBG 20030639,,,,,,Rosaceae,,,,Acaena microphylla Hook f.,Rocaille 3,Acaena microphylla,95.0,acaena microphylla,False,False,ICN,1.0,acaena microphylla,[],False,False,Acaena microphylla,956122.0,species,ott3.3draft1,[],"['ncbi:493339', 'gbif:5370688', 'irmng:11030749']",Acaena microphylla,both
XX 0 FRIBG 10000478,,,,,,Rosaceae,,,,Acaena ovina A.Cunn.,SystÃ¨me 2,Acaena ovina,90.0,acaena ovina,False,True,ICN,1.0,acaena ovina,[],False,False,Acaena echinata,408102.0,species,ott3.3draft1,"['Acaena agnipila tenuispica', 'Acaena behriana', 'Acaena echinata subglabricalyx', 'Acaena ovina', 'Acaena ovina calviscapa', 'Acaena ovina capitulata', 'Acaena ovina laxissima', 'Acaena ovina maxima', 'Acaena ovina monachaena', 'Acaena ovina pubescens', 'Acaena ovina retrosumpilosa', 'Acaena ovina subglabricalyx', 'Acaena ovina tenuispica']","['ncbi:281860', 'gbif:5371158', 'gbif:5371172', 'irmng:10582285', 'irmng:10180888', 'irmng:10182738']",Acaena echinata,both
XX 0 FRIBG 10000479,,,,,,Rosaceae,,,,Acaena pinnatifida Ruiz et Pav.,Rocaille 1,Acaena pinnatifida,90.0,acaena pinnatifida,False,False,ICN,1.0,acaena pinnatifida,[],False,False,Acaena pinnatifida,984459.0,species,ott3.3draft1,"['Acaena aculeata', 'Acaena andicola', 'Acaena arthrotricha', 'Acaena calcitrapa', 'Acaena californica', 'Acaena cuneata', 'Acaena euacantha', 'Acaena fuegina', 'Acaena incisa', 'Acaena leptophylla', 'Acaena longifolia', 'Acaena lucida', 'Acaena montana', 'Acaena multifida', 'Acaena multifida abavia', 'Acaena multifida alaticonnata', 'Acaena multifida canella', 'Acaena multifida glaberrima', 'Acaena multifida intercedens', 'Acaena multifida macrophylla', 'Acaena multifida minor', 'Acaena multifida multiglomerulans', 'Acaena multifida quinquefida', 'Acaena multifida ramificans', 'Acaena multifida subexalaris', 'Acaena multifida utrinquepilosa', 'Acaena oligacantha', 'Acaena pectinata', 'Acaena philippi', 'Acaena pinnatifida aconcaguensis', 'Acaena pinnatifida aculeata', 'Acaena pinnatifida brevispica', 'Acaena pinnatifida calcitrapa', 'Acaena pinnatifida depauperata', 'Acaena pinnatifida elatior', 'Acaena pinnatifida eucantha', 'Acaena pinnatifida glabrata', 'Acaena pinnatifida glabricupula', 'Acaena pinnatifida gracilescens', 'Acaena pinnatifida grandiflora', 'Acaena pinnatifida heterotricha', 'Acaena pinnatifida humilior', 'Acaena pinnatifida hypoleuca', 'Acaena pinnatifida intermedia', 'Acaena pinnatifida leptophylla', 'Acaena pinnatifida liocarpa', 'Acaena pinnatifida longifolia', 'Acaena pinnatifida longiuscula', 'Acaena pinnatifida macrura', 'Acaena pinnatifida mansoensis', 'Acaena pinnatifida membranacea', 'Acaena pinnatifida mollis', 'Acaena pinnatifida nudiscapa', 'Acaena pinnatifida oligacantha', 'Acaena pinnatifida pallidiflora', 'Acaena pinnatifida parvifrons', 'Acaena pinnatifida pliacantha', 'Acaena pinnatifida tomentellicupula', 'Acaena pinnatifida uspallatensis', 'Acaena sericea', 'Acaena sericea latifoliolata', 'Acaena sericea robusta', 'Acaena sericea sericella', 'Acaena sericea subglabricupula', 'Acaena sericea tomentosicupula', 'Ancistrum acaena', 'Ancistrum pinnatifidum']","['ncbi:281873', 'gbif:5370645', 'gbif:5370716', 'irmng:10579083', 'irmng:10419437', 'irmng:10419502', 'irmng:11266703', 'irmng:11305282', 'irmng:11072947', 'irmng:11216823', 'irmng:10181155', 'irmng:10581965', 'irmng:11056317', 'irmng:10186898', 'irmng:10176793']",Acaena pinnatifida,both
XX 0 FRIBG 10003127,,Bouture,,,,Euphorbiaceae,,,,Acalypha chamaedrifolia (Lam.) MÃ¼ll. Arg.,Serre 4,Acalypha chamaedrifolia,90.0,acalypha chamaedrifolia,False,False,ICN,1.0,acalypha chamaedrifolia,[],False,False,Acalypha chamaedrifolia,3910406.0,species,ott3.3draft1,"['? chamaedryfolia', 'Acalypha adscendens', 'Acalypha chamaedrifolia brevipes', 'Acalypha chamaedrifolia genuina', 'Acalypha corchorifolia', 'Acalypha hispaniolae', 'Acalypha hotteana', 'Acalypha reptans', 'Acalypha reptans brevipes', 'Acalypha reptans genuina', 'Croton chamaedrifolius', 'Cupamenis chamedrifolia', 'Cupamenis reptans', 'Geiseleria chamaedryfolia', 'Ricinocarpus chamaedrifolius']","['ncbi:1487772', 'gbif:8339104', 'irmng:11155656']",Acalypha chamaedrifolia,both
XX 0 FRIBG 10003219,,Bouture,,,,Euphorbiaceae,,,,Acalypha hispida Burm. f.,Serre 4,Acalypha hispida,90.0,acalypha hispida,False,False,ICN,1.0,acalypha hispida,[],False,False,Acalypha hispida,1015290.0,species,ott3.3draft1,"['Acalypha densiflora', 'Acalypha hispida sanderi', 'Acalypha sanderi', 'Acalypha sanderiana', 'Ricinocarpus hispidus']","['ncbi:197604', 'gbif:3056375', 'irmng:10606531']",Acalypha hispida,both
XX 0 FRIBG 10003128,,Bouture,,,,Euphorbiaceae,,,,Acalypha wilkesiana MÃ¼ll. Arg. 'Godseffiana',Serre 4,Acalypha wilkesiana,90.0,acalypha wilkesiana,False,False,ICN,1.0,acalypha wilkesiana,[],False,False,Acalypha wilkesiana,211956.0,species,ott3.3draft1,"['Acalypha amentacea circinata', 'Acalypha amentacea subsp. wilkesiana', 'Acalypha amentacea wilkesiana', 'Acalypha chantrieri', 'Acalypha circinata', 'Acalypha compacta', 'Acalypha godseffiana', 'Acalypha godseffiana heterophylla', 'Acalypha hamiltoniana', 'Acalypha illustris publ', 'Acalypha macafeeana', 'Acalypha macrophylla', 'Acalypha marginata', 'Acalypha morfontanensis', 'Acalypha tricolor', 'Acalypha triumphans', 'Acalypha wilkesiana appendiculata', 'Acalypha wilkesiana circinata', 'Acalypha wilkesiana illustris', 'Acalypha wilkesiana macrophylla', 'Acalypha wilkesiana marginata', 'Acalypha wilkesiana monstrosa', 'Acalypha wilkesiana triumphans', 'Ricinocarpus wilkesianus']","['ncbi:217498', 'gbif:3057221']",Acalypha wilkesiana,both
XX 0 FRIBG 10003218,,Bouture,,,,Euphorbiaceae,,,,Acalypha wilkesiana MÃ¼ll. Arg. 'Musaica',Serre 4,Acalypha wilkesiana,90.0,acalypha wilkesiana,False,False,ICN,1.0,acalypha wilkesiana,[],False,False,Acalypha wilkesiana,211956.0,species,ott3.3draft1,"['Acalypha amentacea circinata', 'Acalypha amentacea subsp. wilkesiana', 'Acalypha amentacea wilkesiana', 'Acalypha chantrieri', 'Acalypha circinata', 'Acalypha compacta', 'Acalypha godseffiana', 'Acalypha godseffiana heterophylla', 'Acalypha hamiltoniana', 'Acalypha illustris publ', 'Acalypha macafeeana', 'Acalypha macrophylla', 'Acalypha marginata', 'Acalypha morfontanensis', 'Acalypha tricolor', 'Acalypha triumphans', 'Acalypha wilkesiana appendiculata', 'Acalypha wilkesiana circinata', 'Acalypha wilkesiana illustris', 'Acalypha wilkesiana macrophylla', 'Acalypha wilkesiana marginata', 'Acalypha wilkesiana monstrosa', 'Acalypha wilkesiana triumphans', 'Ricinocarpus wilkesianus']","['ncbi:217498', 'gbif:3057221']",Acalypha wilkesiana,both
XX 0 FRIBG 10003129,,Bouture,,,,Euphorbiaceae,,,,Acalypha wilkesiana MÃ¼ll. Arg. 'Obovata',Serre 4,Acalypha wilkesiana,90.0,acalypha wilkesiana,False,False,ICN,1.0,acalypha wilkesiana,[],False,False,Acalypha wilkesiana,211956.0,species,ott3.3draft1,"['Acalypha amentacea circinata', 'Acalypha amentacea subsp. wilkesiana', 'Acalypha amentacea wilkesiana', 'Acalypha chantrieri', 'Acalypha circinata', 'Acalypha compacta', 'Acalypha godseffiana', 'Acalypha godseffiana heterophylla', 'Acalypha hamiltoniana', 'Acalypha illustris publ', 'Acalypha macafeeana', 'Acalypha macrophylla', 'Acalypha marginata', 'Acalypha morfontanensis', 'Acalypha tricolor', 'Acalypha triumphans', 'Acalypha wilkesiana appendiculata', 'Acalypha wilkesiana circinata', 'Acalypha wilkesiana illustris', 'Acalypha wilkesiana macrophylla', 'Acalypha wilkesiana marginata', 'Acalypha wilkesiana monstrosa', 'Acalypha wilkesiana triumphans', 'Ricinocarpus wilkesianus']","['ncbi:217498', 'gbif:3057221']",Acalypha wilkesiana,both
XX 0 FRIBG 20150289,,,,,,Plumbaginaceae,,,,Acantholimon armenum Boiss.,Rocaille 3,Acantholimon armenum,95.0,acantholimon armenum,False,False,ICN,1.0,acantholimon armenum,[],False,False,Acantholimon armenum,6038529.0,species,ott3.3draft1,"['Acantholimon armenum balansae', 'Acantholimon balansae', 'Acantholimon baltanense', 'Acantholimon caryophyllaceum', 'Acantholimon haussknechtii', 'Armeriastrum armenum', 'Armeriastrum balansae', 'Armeriastrum baltanense', 'Armeriastrum hausknechtii']","['ncbi:1851251', 'gbif:4088894']",Acantholimon armenum,both
XX 0 FRIBG 20150289,,,,,,Plumbaginaceae,,,,Acantholimon armenum Boiss.,Bacs tuf,Acantholimon armenum,95.0,acantholimon armenum,False,False,ICN,1.0,acantholimon armenum,[],False,False,Acantholimon armenum,6038529.0,species,ott3.3draft1,"['Acantholimon armenum balansae', 'Acantholimon balansae', 'Acantholimon baltanense', 'Acantholimon caryophyllaceum', 'Acantholimon haussknechtii', 'Armeriastrum armenum', 'Armeriastrum balansae', 'Armeriastrum baltanense', 'Armeriastrum hausknechtii']","['ncbi:1851251', 'gbif:4088894']",Acantholimon armenum,both
XX 0 FRIBG 20010071,,,,,,Plumbaginaceae,,,,Acantholimon glumaceum (Jaub. et Spach) Boiss.,Place du tilleul,Acantholimon glumaceum,90.0,acantholimon glumaceum,False,False,ICN,1.0,acantholimon glumaceum,[],False,False,Acantholimon glumaceum,7049687.0,species,ott3.3draft1,"['Acantholimon ararati', 'Acantholimon hohenackeri', 'Armeriastrum glumaceum', 'Statice glumacea']","['ncbi:1851278', 'gbif:4090128']",Acantholimon glumaceum,both
XX 0 FRIBG 20010071,,,,,,Plumbaginaceae,,,,Acantholimon glumaceum (Jaub. et Spach) Boiss.,Bacs tuf,Acantholimon glumaceum,90.0,acantholimon glumaceum,False,False,ICN,1.0,acantholimon glumaceum,[],False,False,Acantholimon glumaceum,7049687.0,species,ott3.3draft1,"['Acantholimon ararati', 'Acantholimon hohenackeri', 'Armeriastrum glumaceum', 'Statice glumacea']","['ncbi:1851278', 'gbif:4090128']",Acantholimon glumaceum,both
XX 0 FRIBG 20010135,,,,,,Plumbaginaceae,,,,Acantholimon olivieri (Jaub et Spach) Boiss.,Rocaille 1,Acantholimon olivieri,90.0,acantholimon olivieri,False,False,ICN,1.0,acantholimon olivieri,[],False,False,Acantholimon olivieri,6038666.0,species,ott3.3draft1,"['Acantholimon venustum olivieri', 'Armeriastrum olivieri', 'Statice olivieri']","['ncbi:1851296', 'gbif:4088767']",Acantholimon olivieri,both
XX 0 FRIBG 20100350,,,,,,Plumbaginaceae,,,,Acantholimon ulicinum (Schult.) Boiss.,Rocaille 3,Acantholimon ulicinum,90.0,acantholimon ulicinum,False,False,ICN,1.0,acantholimon ulicinum,[],False,False,Acantholimon ulicinum,5728864.0,species,ott3.3draft1,"['Acantholimon androsaceum', 'Acantholimon androsaceum olympicum', 'Acantholimon libanoticum ulicinum', 'Acantholimon olympicum', 'Acantholimon tournefortii', 'Acantholimon trojanum', 'Acantholimon wiedemannii', 'Armeriastrum ulicinum', 'Armeriastrum wiedemannii', 'Statice androsacea', 'Statice tournefortii', 'Statice ulicina']","['ncbi:1851314', 'gbif:7298136']",Acantholimon ulicinum,both
XX 0 FRIBG 20100350,,,,,,Plumbaginaceae,,,,Acantholimon ulicinum (Schult.) Boiss.,Place du tilleul,Acantholimon ulicinum,90.0,acantholimon ulicinum,False,False,ICN,1.0,acantholimon ulicinum,[],False,False,Acantholimon ulicinum,5728864.0,species,ott3.3draft1,"['Acantholimon androsaceum', 'Acantholimon androsaceum olympicum', 'Acantholimon libanoticum ulicinum', 'Acantholimon olympicum', 'Acantholimon tournefortii', 'Acantholimon trojanum', 'Acantholimon wiedemannii', 'Armeriastrum ulicinum', 'Armeriastrum wiedemannii', 'Statice androsacea', 'Statice tournefortii', 'Statice ulicina']","['ncbi:1851314', 'gbif:7298136']",Acantholimon ulicinum,both
XX 0 FRIBG 20100350,,,,,,Plumbaginaceae,,,,Acantholimon ulicinum (Schult.) Boiss.,Bacs tuf,Acantholimon ulicinum,90.0,acantholimon ulicinum,False,False,ICN,1.0,acantholimon ulicinum,[],False,False,Acantholimon ulicinum,5728864.0,species,ott3.3draft1,"['Acantholimon androsaceum', 'Acantholimon androsaceum olympicum', 'Acantholimon libanoticum ulicinum', 'Acantholimon olympicum', 'Acantholimon tournefortii', 'Acantholimon trojanum', 'Acantholimon wiedemannii', 'Armeriastrum ulicinum', 'Armeriastrum wiedemannii', 'Statice androsacea', 'Statice tournefortii', 'Statice ulicina']","['ncbi:1851314', 'gbif:7298136']",Acantholimon ulicinum,both
TR 0 FRIBG 20160377,,,,,,Plumbaginaceae,,,,Acantholimon venustum Boiss.,Rocaille 3,Acantholimon venustum,95.0,acantholimon venustum,False,False,ICN,1.0,acantholimon venustum,[],False,False,Acantholimon venustum,6038733.0,species,ott3.3draft1,"['Acantholimon assyriacum', 'Acantholimon venustum assyriacum', 'Armeriastrum assyriacum', 'Armeriastrum dianthifolium', 'Statice dianthifolia', 'Statice oliverii', 'Statice venusta']","['ncbi:1851315', 'gbif:4089793']",Acantholimon venustum,both
XX 0 FRIBG 10000482,,,,,,Acanthaceae,,,,Acanthus hungaricus (Borbas) Baen.,SystÃ¨me 1,Acanthus hungaricus,90.0,acanthus hungaricus,False,True,ICN,1.0,acanthus hungaricus,[],False,False,Acanthus longifolius,912485.0,species,ott3.3draft1,"['Acanthus balcanicus', 'Acanthus hungaricus', 'Acanthus longifolius hungaricus']","['ncbi:185773', 'gbif:8116963']",Acanthus longifolius,both
XX 0 FRIBG 10003130,,Bouture,,,,Acanthaceae,,,,Acanthus montanus (Nees) T. Anderson,Serre 4,Acanthus montanus,90.0,acanthus montanus,False,False,ICN,1.0,acanthus montanus,[],False,False,Acanthus montanus,828092.0,species,ott3.3draft1,"['Acanthus barteri', 'Acanthus caudatus', 'Cheilopsis montana']","['ncbi:13327', 'gbif:5573815']",Acanthus montanus,both
GR 0 FRIBG 20160352,,,,,,Acanthaceae,,,,Acanthus spinosus L.,Place du tilleul,Acanthus spinosus,95.0,acanthusinosus,True,False,ICN,0.8235294222831726,acanthusinosus,[],False,False,Acanthus spinosus,444250.0,species,ott3.3draft1,"['Acanthus caroli-alexandri', 'Acanthus mollis', 'Acanthus spinosissimus', 'Acanthus spinosus spinosissimus']","['ncbi:101744', 'gbif:5415453', 'irmng:10456427']",Acanthus spinosus,both
XX 0 FRIBG 19980531,,,,,,Sapindaceae,,,,Acer buergerianum Miq.,FougÃ¨res,Acer buergerianum,95.0,acer buergerianum,False,False,ICN,1.0,acer buergerianum,[],False,False,Acer buergerianum,979924.0,species,ott3.3draft1,"['Acer buergeranum', 'Acer buergerianum jiujiangense', 'Acer buergerianum trinerve', 'Acer lingii', 'Acer palmatum subtrilobum', 'Acer subtrilobum', 'Acer trifidum', 'Acer trifidum buergerianum', 'Acer trifidum elobatum', 'Acer trinerve']","['ncbi:57649', 'gbif:7100404']",Acer buergerianum,both
CH 0 FRIBG 19970472,,,,,,Sapindaceae,,,,Acer campestre L.,FougÃ¨res,Acer campestre,95.0,acer campestre,False,False,ICN,1.0,acer campestre,[],False,False,Acer campestre,506137.0,species,ott3.3draft1,"['Acer campestre pulverulentum', 'Acer campestre suberosum', 'Acer tomentosum', 'Acer trattinickii', 'Acer vulgare']","['ncbi:66205', 'gbif:3189863', 'irmng:11307082']",Acer campestre,both
XX 0 FRIBG 20020148,,,,,,Sapindaceae,,,,Acer capillipes Maxim.,FougÃ¨res,Acer capillipes,95.0,acer capillipes,False,False,ICN,1.0,acer capillipes,[],False,False,Acer capillipes,190369.0,species,ott3.3draft1,['Acer pensylvanicum capillipes'],"['ncbi:171205', 'gbif:7495204']",Acer capillipes,both
