ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
1001108,Archaeplastida,Streptophyta,Magnoliopsida,Myrtales,Melastomataceae,Gravesia,,Gravesia guttata,5268475,916750,99252,648898,489621,65514,,[],species
1001417,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,,Cerastium tomentosum,5268475,916750,99252,216628,317818,842191,,[],species
1001424,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,,Cerastium alpinum,5268475,916750,99252,216628,317818,842191,,[],species
1001432,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,,Cerastium arvense,5268475,916750,99252,216628,317818,842191,,[],species
1001992,Archaeplastida,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,,Eugenia uniflora (species in kingdom Archaeplastida),5268475,916750,99252,648898,1015492,1001998,,['sibling_higher'],species
1002217,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Alonsoa,,Alonsoa meridionalis,5268475,916750,99252,23736,23713,45953,,[],species
1003095,Archaeplastida,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Trachycarpus,,Trachycarpus fortunei,5268475,916750,99252,17706,526437,1003093,,[],species
1003249,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,Centaurea triumfettii,5268475,916750,99252,1042120,46248,1030541,,[],species
1003456,Archaeplastida,Streptophyta,Magnoliopsida,Liliales,Liliaceae,Tulipa,,Tulipa uniflora,5268475,916750,99252,258488,781605,878709,,[],species
1003614,Archaeplastida,Streptophyta,Magnoliopsida,Alismatales,Araceae,Aglaonema,,Aglaonema modestum,5268475,916750,99252,399481,481972,1003617,,[],species
1004267,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Vanilla,,Vanilla pompona,5268475,916750,99252,557124,568878,713005,,[],species
1004270,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Dendrobium,,Dendrobium moschatum,5268475,916750,99252,557124,568878,868270,,[],species
1004570,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,,Prunus padus,5268475,916750,99252,208031,208036,731578,,['sibling_higher'],species
1004812,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Sisyrinchium,,Sisyrinchium patagonicum,5268475,916750,99252,557124,1087540,472817,,[],species
1004833,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium,,Delphinium grandiflorum,5268475,916750,99252,872975,387826,518366,,[],species
