is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Stevia rebaudiana,ICN,1.0,stevia rebaudiana,[],False,False,Stevia rebaudiana,218148,species,ott3.3draft1,['Eupatorium rebaudianum'],"['ncbi:55670', 'gbif:3125557', 'irmng:11018304']",Stevia rebaudiana
False,False,Phedimus spurius,ICN,1.0,phedimus spurius,[],False,False,Phedimus spurius,526581,species,ott3.3draft1,"['Anacampseros ciliaris', 'Anacampseros dentata', 'Anacampseros spuria', 'Asterosedum spurium', 'Crassula crenata', 'Phedimus crenatus', 'Sedum congestum', 'Sedum crenatum', 'Sedum dentatum', 'Sedum denticulatum', 'Sedum involucratum', 'Sedum lazicum', 'Sedum oppositifolium', 'Sedum spurium', 'Sedum spurium album', 'Sedum spurium coccineum', 'Sedum spurium involucratum', 'Sedum spurium oppositifolium', 'Spathulata spuria']","['ncbi:202991', 'gbif:4201607', 'irmng:10854038']",Phedimus spurius
False,False,Coffea arabica,ICN,1.0,coffea arabica,['sibling_higher'],False,False,Coffea arabica,1001050,species,ott3.3draft1,"['Coffea arabica abyssinica', 'Coffea arabica amarella', 'Coffea arabica angustifolia', 'Coffea arabica arabica', 'Coffea arabica bourbon', 'Coffea arabica brevistipulata', 'Coffea arabica bullata', 'Coffea arabica columnaris', 'Coffea arabica culta', 'Coffea arabica cultoides', 'Coffea arabica erecta', 'Coffea arabica goiaba', 'Coffea arabica latifolia', 'Coffea arabica laurina', 'Coffea arabica longistipulata', 'Coffea arabica maragogype', 'Coffea arabica mirta', 'Coffea arabica mokka', 'Coffea arabica monosperma', 'Coffea arabica murta', 'Coffea arabica myrtifolia', 'Coffea arabica pendula', 'Coffea arabica polysperma', 'Coffea arabica pubescens', 'Coffea arabica purpurascens', 'Coffea arabica rotundifolia', 'Coffea arabica straminea', 'Coffea arabica sundana', 'Coffea arabica typica', 'Coffea arabica variegata', 'Coffea bourbonica', 'Coffea corymbulosa', 'Coffea laurifolia', 'Coffea moka', 'Coffea sundana', 'Coffea vulgaris']","['ncbi:13443', 'gbif:2895345', 'irmng:11107021']",Coffea arabica
False,True,Lippia dulcis,ICN,1.0,lippia dulcis,[],False,False,Phyla dulcis,852644,species,ott3.3draft1,"['Lippia asperifolia', 'Lippia dulcis', 'Lippia dulcis mexicana', 'Phyla dulcus', 'Phyla scaberrima', 'Zappania scaberrima']","['ncbi:542674', 'gbif:2925416', 'irmng:10694424']",Phyla dulcis
False,False,Paullinia cupana,ICN,1.0,paullinia cupana,[],False,False,Paullinia cupana,648094,species,ott3.3draft1,[],"['ncbi:392747', 'gbif:3189949', 'irmng:10941229']",Paullinia cupana
False,False,Catha edulis,ICN,1.0,catha edulis,[],False,False,Catha edulis,282743,species,ott3.3draft1,"['Catha forskalii', 'Catha glauca', 'Catha inermis', 'Celastrus edulis', 'Celastrus tsaad', 'Dillonia abyssinica', 'Hartogia thea', 'Methyscophyllum glaucum', 'Trigonotheca serrata']","['ncbi:123405', 'gbif:7979745', 'irmng:10202236']",Catha edulis
False,False,Musa acuminata,ICN,1.0,musa acuminata,['sibling_higher'],False,False,Musa acuminata,207474,species,ott3.3draft1,"['Musa AA Group', 'Musa acuminata AA Group', 'Musa cavendishii', 'Musa chinensis', 'Musa nana', 'Musa sapientum rio', 'Musa sinensis', ""Musa sp. 'Pisang lilin'"", 'Musa zebrina']","['ncbi:4641', 'gbif:2762680', 'irmng:10208094']",Musa acuminata
False,False,Brosimum alicastrum,ICN,1.0,brosimum alicastrum,[],False,False,Brosimum alicastrum,923984,species,ott3.3draft1,['Brosimum uleanum'],"['ncbi:194253', 'gbif:2984660', 'irmng:10766687']",Brosimum alicastrum
False,False,Psidium cattleyanum,ICN,1.0,psidium cattleyanum,[],False,False,Psidium cattleyanum,807037,species,ott3.3draft1,['Psidium cattleianum'],['ncbi:375274'],Psidium cattleyanum
False,False,Blighia sapida,ICN,1.0,blighia sapida,[],False,False,Blighia sapida,943319,species,ott3.3draft1,"['Akea solitaria', 'Akeesia africana', 'Cupania akeesia', 'Cupania sapida']","['ncbi:259381', 'gbif:3189955', 'irmng:10202237']",Blighia sapida
